Test_ID,Predicted_Reference_Parameter,Validity_Label
TST-0126,16.88,Valid
TST-0034,49.62,Valid
TST-0103,15.9,Valid
TST-0245,23.26,Valid
TST-0058,49.51,Valid
TST-0065,26.23,Valid
TST-0086,19.41,Valid
TST-0342,20.67,Valid
TST-0335,18.04,Valid
TST-0180,18.36,Invalid
TST-0294,23.9,Valid
TST-0072,20.69,Valid
TST-0315,46.83,Invalid
TST-0182,46.4,Valid
TST-0200,21.26,Valid
TST-0030,16.54,Valid
TST-0193,16.73,Valid
TST-0231,21.14,Valid
TST-0128,25.6,Valid
TST-0165,28.21,Invalid
TST-0074,13.87,Valid
TST-0004,34.16,Valid
TST-0157,22.97,Valid
TST-0143,27.63,Valid
TST-0179,40.89,Valid
TST-0075,27.59,Valid
TST-0233,25.35,Valid
TST-0111,27.01,Valid
TST-0350,20.91,Valid
TST-0122,17.45,Valid
TST-0076,22.09,Valid
TST-0304,26.44,Valid
TST-0190,30.16,Valid
TST-0061,16.93,Valid
TST-0009,26.63,Valid
TST-0194,44.05,Valid
TST-0156,18.88,Valid
TST-0088,32.42,Valid
TST-0256,47.55,Valid
TST-0329,16.45,Valid
TST-0219,42.17,Valid
TST-0306,14.08,Valid
TST-0324,22.91,Valid
TST-0113,21.5,Valid
TST-0135,16.11,Valid
TST-0339,17.48,Valid
TST-0260,22.63,Valid
TST-0195,25.63,Valid
TST-0286,28.84,Valid
TST-0015,25.34,Valid
TST-0263,19.21,Valid
TST-0147,24.95,Valid
TST-0002,24.74,Invalid
TST-0114,46.9,Valid
TST-0271,26.96,Invalid
TST-0223,22.19,Valid
TST-0344,16.17,Valid
TST-0183,30.94,Valid
TST-0327,34.4,Valid
TST-0250,19.98,Valid
TST-0185,38.66,Valid
TST-0242,21.24,Valid
TST-0158,12.81,Valid
TST-0078,44.48,Valid
TST-0120,22.65,Valid
TST-0093,30.05,Valid
TST-0051,15.8,Valid
TST-0010,15.8,Valid
TST-0013,51.7,Valid
TST-0049,15.09,Valid
TST-0041,17.63,Valid
TST-0055,32.19,Valid
TST-0012,20.65,Valid
TST-0127,49.21,Valid
TST-0225,26.79,Valid
TST-0050,23.89,Valid
TST-0172,36.25,Valid
TST-0079,33.3,Valid
TST-0046,22.14,Valid
TST-0325,18.37,Valid
TST-0280,20.46,Valid
TST-0140,15.29,Valid
TST-0244,46.83,Invalid
TST-0203,21.11,Valid
TST-0238,18.77,Valid
TST-0092,29.58,Valid
TST-0307,14.3,Valid
TST-0176,30.54,Valid
TST-0115,17.55,Valid
TST-0028,15.46,Invalid
TST-0317,19.47,Valid
TST-0251,38.37,Valid
TST-0301,14.94,Valid
TST-0116,36.83,Valid
TST-0056,23.12,Valid
TST-0166,27.45,Valid
TST-0247,33.22,Valid
TST-0291,27.39,Valid
TST-0167,29.41,Valid
TST-0313,47.73,Valid
TST-0105,14.09,Valid
TST-0104,20.91,Valid
TST-0045,35.01,Valid
TST-0289,44.42,Valid
TST-0048,27.01,Valid
TST-0110,18.85,Valid
TST-0037,41.62,Valid
TST-0305,18.54,Valid
TST-0240,33.51,Valid
TST-0155,32.94,Valid
TST-0119,53.17,Valid
TST-0295,23.55,Valid
TST-0229,18.59,Valid
TST-0106,21.14,Valid
TST-0052,16.06,Valid
TST-0276,21.67,Valid
TST-0216,21.9,Valid
TST-0208,20.31,Valid
TST-0188,22.08,Valid
TST-0145,49.58,Valid
TST-0039,21.38,Valid
TST-0173,19.21,Valid
TST-0082,20.08,Valid
TST-0296,36.57,Valid
TST-0297,34.9,Valid
TST-0125,17.51,Valid
TST-0199,21.68,Valid
TST-0330,21.4,Valid
TST-0133,36.0,Valid
TST-0175,31.48,Valid
TST-0270,45.44,Valid
TST-0255,16.96,Valid
TST-0025,13.75,Valid
TST-0073,13.89,Valid
TST-0077,20.71,Valid
TST-0293,14.73,Valid
TST-0212,32.76,Invalid
TST-0081,13.96,Valid
TST-0328,19.91,Valid
TST-0290,49.69,Valid
TST-0337,16.72,Valid
TST-0171,23.6,Valid
TST-0057,30.19,Valid
TST-0284,19.3,Valid
TST-0063,23.09,Valid
TST-0022,22.4,Valid
TST-0044,17.36,Valid
TST-0035,23.94,Valid
TST-0258,44.34,Invalid
TST-0334,26.86,Valid
TST-0018,27.18,Valid
TST-0321,21.35,Valid
TST-0282,14.84,Valid
TST-0142,45.47,Invalid
TST-0312,23.36,Valid
TST-0101,21.68,Valid
TST-0134,21.2,Invalid
TST-0287,33.23,Valid
TST-0153,33.33,Valid
TST-0299,29.97,Valid
TST-0204,23.0,Invalid
TST-0090,19.66,Valid
TST-0186,32.84,Valid
TST-0209,48.37,Valid
TST-0130,20.88,Valid
TST-0224,22.61,Valid
TST-0302,28.34,Valid
TST-0118,15.4,Valid
TST-0292,20.02,Valid
TST-0345,22.64,Invalid
TST-0108,24.2,Valid
TST-0071,15.49,Valid
TST-0053,15.97,Valid
TST-0273,16.91,Valid
TST-0300,15.1,Valid
TST-0148,19.42,Valid
TST-0347,39.84,Valid
TST-0146,28.21,Invalid
TST-0241,18.21,Valid
TST-0096,16.66,Valid
TST-0220,22.95,Valid
TST-0174,22.78,Valid
TST-0246,14.8,Valid
TST-0136,18.83,Valid
TST-0109,21.7,Valid
TST-0040,37.83,Valid
TST-0043,20.64,Valid
TST-0181,37.36,Valid
TST-0268,17.3,Valid
TST-0253,16.09,Valid
TST-0017,25.53,Valid
TST-0201,23.1,Valid
TST-0129,16.81,Valid
TST-0068,47.68,Valid
TST-0161,15.38,Valid
TST-0298,21.6,Valid
TST-0094,43.37,Valid
TST-0336,28.54,Invalid
TST-0149,20.95,Valid
TST-0191,49.04,Valid
TST-0032,18.48,Valid
TST-0054,16.35,Valid
TST-0349,54.49,Valid
TST-0100,18.17,Valid
TST-0162,19.33,Valid
TST-0326,22.52,Invalid
TST-0340,19.65,Valid
TST-0319,28.72,Valid
TST-0064,18.64,Valid
TST-0259,28.44,Valid
TST-0066,44.39,Valid
TST-0123,47.8,Valid
TST-0218,20.75,Valid
TST-0261,23.78,Valid
TST-0196,21.47,Valid
TST-0281,25.56,Invalid
TST-0303,37.68,Valid
TST-0254,22.61,Valid
TST-0322,18.67,Valid
TST-0139,17.02,Valid
TST-0257,37.36,Valid
TST-0033,16.81,Valid
TST-0112,49.44,Valid
TST-0021,24.83,Valid
TST-0083,18.08,Valid
TST-0150,23.91,Valid
TST-0265,23.41,Valid
TST-0227,34.66,Valid
TST-0170,25.22,Valid
TST-0318,29.02,Valid
TST-0097,16.47,Valid
TST-0152,34.91,Valid
TST-0084,55.65,Valid
TST-0124,16.92,Valid
TST-0098,33.57,Valid
TST-0341,29.5,Valid
TST-0042,31.44,Valid
TST-0189,19.42,Valid
TST-0285,22.8,Valid
TST-0020,22.06,Valid
TST-0314,43.24,Valid
